name,slug,value,date_of_information,ranking,region
"Guernsey","guernsey","67,642","2023 est.","203","Europe"
"Cayman Islands","cayman-islands","65,483","2023 est.","204","Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","59,367","2023 est.","205","Central America and the Caribbean"
"Greenland","greenland","57,777","2023 est.","206","North America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","54,817","2023 est.","207","Central America and the Caribbean"
"Faroe Islands","faroe-islands","52,600","2023 est.","208","Europe"
"Northern Mariana Islands","northern-mariana-islands","51,295","2023 est.","209","Australia and Oceania"
"Sint Maarten","sint-maarten","45,677","2023 est.","210","Central America and the Caribbean"
"American Samoa","american-samoa","44,620","2023 est.","211","Australia and Oceania"
"Liechtenstein","liechtenstein","39,993","2023 est.","212","Europe"
"British Virgin Islands","british-virgin-islands","39,369","2023 est.","213","Central America and the Caribbean"
"San Marino","san-marino","34,892","2023 est.","214","Europe"
"Saint Martin","saint-martin","32,897","2023 est.","215","Central America and the Caribbean"
"Monaco","monaco","31,597","2023 est.","216","Europe"
"Gibraltar","gibraltar","29,629","2023 est.","217","Europe"
"Palau","palau","21,779","2023 est.","218","Australia and Oceania"
"Anguilla","anguilla","19,079","2023 est.","219","Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","15,929","2023 est.","220","Australia and Oceania"
"Tuvalu","tuvalu","11,639","2023 est.","221","Australia and Oceania"
"Nauru","nauru","9,852","2023 est.","222","Australia and Oceania"
"Cook Islands","cook-islands","7,939","2023 est.","223","Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","7,935","2023 est.","224","Africa"
"Saint Barthelemy","saint-barthelemy","7,093","2023 est.","225","Central America and the Caribbean"
"Montserrat","montserrat","5,440","2023 est.","226","Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","5,195","2023 est.","227","North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","3,198","2016 est.","228","South America"
"Svalbard","svalbard","2,926","January 2021 est.","229","Europe"
"Christmas Island","christmas-island","2,205","2016 est.","230","Australia and Oceania"
"Niue","niue","2,000","July 2022 est.","231","Australia and Oceania"
"Norfolk Island","norfolk-island","1,748","2016 est.","232","Australia and Oceania"
"Tokelau","tokelau","1,647","2019 est.","233","Australia and Oceania"
"Paracel Islands","paracel-islands","1,440","July 2014 est.","234","East and Southeast Asia"
"Holy See (Vatican City)","holy-see-vatican-city","1,000","2022 est.","235","Europe"
"Cocos (Keeling) Islands","cocos-keeling-islands","596","July 2014 est.","236","Australia and Oceania"
"Pitcairn Islands","pitcairn-islands","50","2021 est.","237","Australia and Oceania"
